index,isbn,book_title,book_author,Category,year_of_publication
70928,1884777805,Elements of Programming With Perl,Andrew L. Johnson,['Computers'],1999
70929,440218535,Smilla's Sense of Snow,Peter Hoeg,9,1997
71032,894342789,College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers),Paul Phifer,['Education'],1999
71033,449207595,The Grass Is Always Greener over the Septic Tank,Erma Bombeck,['Humor'],1988
71048,8806142267,Viaggi del tempo immobile (I coralli),Roberto Vecchioni,9,1996
71050,394559487,Citizens: A Chronicle of the French Revolution,Simon Schama,['History'],1989
71052,039457513X,Billy Bathgate,E. L. Doctorow,9,1989
71055,670844594,Rumpole on Trial,John Mortimer,9,1992
71059,804001944,The Man Who Killed the Deer,Frank Waters,['Fiction'],1970
71060,60535032,City of the Beasts,Isabel Allende,['Juvenile Fiction'],2004
71063,64405052,The Magician's Nephew (Narnia),C. S. Lewis,['Juvenile Fiction'],1994
71092,64409457,The Silver Chair (full color) (Narnia),C. S. Lewis,9,2000
71095,152162445,High Wizardry: The Third Book in the Young Wizards Series,Diane Duane,['Juvenile Fiction'],2001
71100,015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,['Fantasy'],2001
71135,152162577,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,['Juvenile Fiction'],2001
71153,345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,9,1995
71298,439042917,The Hork-Bajir Chronicles (Animorphs Series),K. A. Applegate,['Juvenile Fiction'],1998
71301,043922165X,"Circles in the Stream (Avalon: Web of Magic, 1)",Shelly R. Roberts,['Juvenile Fiction'],2001
71304,439221676,"All That Glitters (Avalon, 2)",Rachel Roberts,['Juvenile Fiction'],2001
71307,439221684,"Cry of the Wolf (Avalon, 3)",Rachel Roberts,9,2001
71310,439221706,Avalon: Web Of Magic #5: Spellsinger,Rachel Roberts,9,2002
71311,439221714,"The Secret of the Unicorn (Avalon Web of Magic, 4)",Rachel Roberts,9,2000
71314,439221730,Trial by Fire,Rachel Roberts,9,2002
71315,440219078,The Giver (21st Century Reference),LOIS LOWRY,9,1994
71493,440415993,"Ties That Bind, Ties That Break (Laurel-Leaf Books)",Lensey Namioka,['Juvenile Fiction'],2000
71502,590897985,The Music of Dolphins (Apple Signature Edition),Karen Hesse,['Juvenile Fiction'],1998
71533,689829698,Caddie Woodlawn - Newbery Promo '99 (Aladdin Fiction),Carol Ryrie Brink,9,1999
71536,689832877,Sunwing (Aladdin Fantasy),Kenneth Oppel,9,2001
71539,068983585X,The Janitor's Boy,Andrew Clements,9,2001
71542,895872102,"The Hauntings of Williamsburg, Yorktown, and Jamestown",Jackie Eileen Behrend,['History'],1998
71543,1562477528,Going for Great (Ag Fiction (American Girl)),Carolee Brockmann,['Flute'],1999
71546,185424597X,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway,['Religion'],2003
71549,2080105434,The Little Book of Chocolate (Little Book Of...(Flammarion)),Alain Stella,['Cooking'],2001
71551,345346971,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,9,1987
71583,345356578,A Man Rides Through (Man Rides Through),Stephen Donaldson,9,1990
71612,3257201761,Die zwei Gesichter des Januars.,Patricia Highsmith,9,1974
71614,3404118960,Die SÃ?Â¤ulen der Erde. Roman.,Ken Follett,9,1992
71649,3404121686,Nacht Ã?Â¼ber den Wassern.,Ken Follett,9,1994
71660,349913358X,Das Schlampenbuch. ErzÃ?Â¤hlungen. ( neue frau).,Milena Moser,9,1993
71666,753804700,Reader,Bernhard Schlink,9,1994
71714,415928087,A New Germany in a New Europe,Todd Herzog,['History'],2000
71715,451155750,The Dead Zone,Stephen King,9,2004
71798,521427150,"Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology)",John Borneman,9,1992
71799,786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,['Fiction'],2002
71895,812923278,The Great Depression : America 1929-1941,ROBERT S. MCELVAINE,9,1993
71896,884111342,Lady of the Shroud,Bram Stoker,9,1989
71897,345428544,"Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2)",Michael A. Stackpole,['Fiction'],2000
71911,671694049,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,9,1990
71943,080901582X,The Return of Simple,Langston Hughes,9,1995
71944,449006557,Half Moon Street (Charlotte & Thomas Pitt Novels (Paperback)),Anne Perry,['Fiction'],2001
71970,373250339,A Minor Indiscretion (Red Dress Ink (Paperback)),Carol Matthews,['Fiction'],2003
71982,380820447,"For Better, for Worse: A Novel",Carole Matthews,9,2002
72055,385497679,Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Jacqueline L. Tobin,['History'],2000
72061,451454243,The Forest House,Marion Zimmer Bradley,9,1995
72126,312853238,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,9,1992
72140,373871562,Twin Blessings (Love Inspired (Numbered)),Carolyne Aarsen,['Fiction'],2001
72145,380002450,Awakening,Kate Chopin,['Fiction'],1982
72203,385493800,The Testament,John Grisham,['Fiction'],1999
72316,394178017,Poetics of the New American Poetry,Donald Merriam Allen,9,1974
72317,039914563X,The Bear and the Dragon,Tom Clancy,['Fiction'],2000
72371,425134350,Patriot Games,Tom Clancy,"['Ryan, Jack (Fictitious character)']",1992
72427,425161722,Net Force,Tom Clancy,9,1999
72511,440211727,A Time to Kill,JOHN GRISHAM,['Fiction'],1992
73028,553101439,West of Dodge: Frontier Stories,Louis L'Amour,9,1996
73029,067175145X,The Way Things Ought to Be,"Rush H., III Limbaugh",['Biography & Autobiography'],1992
73052,688048730,Thinking on paper,V. A Howard,['English language'],1986
73054,793133955,Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks & Mutual Funds (Wall Street's Picks),Kirk Kazanjian,['Investments'],1999
73055,835949362,Non-manipulative selling,Anthony J Alessandra,9,1981
73056,849916399,The Internet Church,Walter P. Wilson,['Religion'],2000
73057,877192820,The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts,Anne Dingus,['Travel'],1995
73058,880701102,Come Before Winter and Share My Hope,Charles R. Swindoll,9,1985
73061,898151910,"How to Make $1,000 a Minute: Negotiating Salaries and Raises",Jack Chapman,9,1987
73062,941423042,American Poetry Since 1970: Up Late,Andrei Codrescu,9,1988
73063,1928791107,The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution,Bruce Fries,['Computers'],2000
73064,380538504,Amanda Miranda,Richard Peck,9,1981
73068,380754851,Moonlighting: 148 Great Ways to Make Money on the Side,Carl Hausman,9,1991
73069,385479689,Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist,William Maples,['Medical'],1995
73077,345404777,No Safe Place,RICHARD NORTH PATTERSON,9,1999
73152,380759497,Xanth 15: The Color of Her Panties,Piers Anthony,['Fiction'],1992
73177,038533334X,Charming Billy,Alice McDermott,9,1999
73310,440120470,The Dinner Party,Howard Fast,['Fiction'],1991
73320,440130913,Golden Cup,Belva Plain,['Fiction'],1987
73351,440222818,Guilt,John T. Lescroart,['Fiction'],1998
73395,440224829,Granny Dan,DANIELLE STEEL,['Fiction'],2000
73474,044661162X,Chasing the Dime,Michael Connelly,9,2003
73543,449001954,Murder at the Library of Congress (Capital Crimes (Paperback)),Margaret Truman,['Fiction'],2001
73557,449131548,All the Days of My Life,Hilary Bailey,9,1986
73559,451185277,Thorns of Truth,Eileen Goudge,['Fiction'],1999
73585,451188209,A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback)),Jessica Fletcher,9,1996
73592,451204050,On Secret Service,John Jakes,['Fiction'],2001
73614,515122408,The Cat Who Tailed a Thief,Lilian Jackson Braun,9,1998
73662,515134368,The Penwyth Curse,Catherine Coulter,9,2004
73723,671742566,Tender Triumph (Sonnet Books),Judith McNaught,['Fiction'],1991
73747,671779338,Border Bride,Arnette Lamb,9,1993
73754,1551660016,The Devil's Own,Sandra Brown,['Fiction'],1994
73763,3442098424,Der FÃ?Â¼rst der Finsternis. Roman.,Anne Rice,9,1992
73767,394578791,A Reporter's Life,WALTER CRONKITE,['Journalists'],1996
73790,1558505377,Jacob Marley's Christmas Carol,Tom Mula,9,1995
73794,60085444,She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot,['Fiction'],2002
73861,61064505,"Blowtorch Psycho.Com (Bone Chillers, No 18)",Sherry Shahan,['Authorship'],1997
73866,64472779,All-American Girl,Meg Cabot,['Juvenile Fiction'],2003
73891,130139165,Introduction to Fire Prevention (5th Edition),James C. Robertson,['Medical'],2000
73894,140065172,Ordinary People,Judith Guest,['Fiction'],1993
73921,142500410,The Rose Queen (Missing Persons),M. E. Rabb,9,2004
73923,142500429,Chocolate Lover (Missing Persons),M. E. Rabb,['Juvenile Fiction'],2004
73924,312422156,Middlesex: A Novel,Jeffrey Eugenides,['Fiction'],2003
74053,312971346,High Five (A Stephanie Plum Novel),Janet Evanovich,['Fiction'],2000
74254,345384350,Icebound,Dean R. Koontz,['Fiction'],1995
74371,373036582,"Twins Included! (Ready For Baby) (Romance, 3658)",Grace Green,['Fiction'],2001
74372,373037430,Rush to the Altar  (Twin Brides),Rebecca Winters,9,2003
74374,373037449,The Venetian Playboy's Bride  (The Counts of Calvani),Lucy Gordon,['Fiction'],2003
74379,373037481,The Marriage Market  (9 to 5),Leigh Michaels,['Fiction'],2003
74384,373118333,"Father Of Her Child  (Top Author) (Harlequin Presents, No 1833)",Emma Darcy,['Fiction'],1996
74389,373122829,"Marriage On Command  (Wedlocked!) (Harlequin Presents, No. 2282)",Lindsay Armstrong,['Fiction'],2002
74392,373123108,Sleeping Partners  (Nine to Five),Helen Brooks,9,2003
74395,373123167,An Enigmatic Man  (Do Not Disturb!),Carole Mortimer,['Fiction'],2003
74397,373123205,The Forced Marriage  (Italian Husbands),Sara Craven,['Fiction'],2003
74402,373123248,His Convenient Proposal  (The Australians),Lindsay Armstrong,['Fiction'],2003
74406,373123485,"On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348)",Sandra Field,['Fiction'],2003
74411,037316971X,"Prescription: Marry Her Immediately: The Babies of Doctors Circle (Harlequin American Romance, No 971)",Jacueline Diamond,9,2003
74414,373196679,Betrothed To The Prince  (Catching The Crown),Raye Morgan,['Fiction'],2003
74421,373196725,Counterfeit Princess  (Catching The Crown),Raye Morgan,['Fiction'],2003
74427,373196741,To Catch A Sheik  (Desert Brides),Teresa Southwick,9,2003
74437,373245696,"Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569)",Lois Faye Dyer,['Fiction'],2003
74440,373270089,Waiting For The Wolf Moon (Silhouette Shadows No. 8),Evelyn Vaughn,9,1993
74444,373613601,The Last Bachelor,Judy Christenberry,['Fiction'],2003
74453,373750013,"The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance, No. 997)",Cathy Gillen Thacker,['Fiction'],2003
74459,380723638,Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,9,1997
74521,380752115,Whisper to Me of Love,Shirlee Busbee,9,1991
74529,380817144,Lord of the Silent: A Novel of Suspense,Elizabeth Peters,9,2002
74568,381999866,Magic House of Numbers.,Irving. Adler,9,1974
74569,393030342,A Christmas Story,Richard Burton,['Actors'],1991
74570,399143165,Toxin,Robin Cook,['Fiction'],1998
74606,399206868,Getting into Radio-Controlled Sports,Jerry Murray,['Technology & Engineering'],1979
74609,425124347,The Bad Place,Dean R. Koontz,['Fiction'],1994
74739,425139069,Somebody Help Me,Beverly Hastings,['Fiction'],1993
74741,425147517,The Key to Midnight,Dean R. Koontz,['Fiction'],1995
74846,425155404,Invasion,Robin Cook,9,1997
74956,425166619,Toxin,Robin Cook,['Fiction'],1999
75048,044022165X,The Rainmaker,JOHN GRISHAM,['Fiction'],1996
75434,044132231X,Heathcliff Gone Fishing,George Gately,9,1985
75440,450029956,Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series),Cyrano de Bergerac,"['Science fiction, French']",1976
75443,451524489,The Awakening and Selected Stories of Kate Chopin (Signet Classic),Kate Chopin,['Fiction'],1995
75452,451526503,Adventures of Huckleberry Finn (Signet Classics (Paperback)),Mark Twain,9,1997
75468,553238256,Spy Who Came in from the Cold,John Le Carre,9,1984
75471,553255371,"Spring Break (Sweet Valley High Super Edition, No 3)",Francine Pascal,['Juvenile Fiction'],1986
75479,553256785,SLEEPING MURDER,AGATHA CHRISTIE,['Fiction'],1983
75485,553561618,Dark Paradise,TAMI HOAG,['Fiction'],1994
75622,553581279,The Silver Metal Lover,Tanith Lee,9,1999
75634,590431250,Blind Date,R. L. Stine,['Juvenile Fiction'],1995
75645,590514776,Meet the Stars of Buffy the Vampire Slayer,Stefanie Scott,['Performing Arts'],1998
75658,061312975X,This Present Darkness,Frank E. Peretti,9,1999
75660,068983571X,Hound of the Baskervilles (Aladdin Classics),Sir Arthur Conan Doyle,['Fiction'],2000
75683,743201078,"The Secret Lives of Girls: What Good Girls Really Do--Sex Play, Aggression, and Their Guilt",Sharon Lamb,9,2002
75685,765341972,The Mothman Prophecies,John A. Keel,"['Body, Mind & Spirit']",2002
75758,821766066,"Seducing Alicia (Zebra Bouquet Romances, No 48)",Tracy Cozzens,['Fiction'],2000
75760,836230868,Christmas : A Holiday Treasury,Della Rowland,9,1994
75761,892967994,The Fractal Murders (Pepper Keane Mysteries),Mark Cohen,['Fiction'],2004
75765,1551668785,Final Stand,Helen Myers,['Fiction'],2002
75779,312282990,The Amazing Adventures of Kavalier & Clay,Michael Chabon,9,2001
75977,786889705,Two for Texas,James Lee Burke,['Fiction'],2000
75981,425113892,Someone in the House,Barbara Michaels,['Fiction'],1989
76003,042512892X,Into the Darkness,Barbara Michaels,['Fiction'],1996
76029,425137945,Greygallows,Barbara Michaels,['Fiction'],1993
76050,014036336X,The House With a Clock in Its Walls,John Bellairs,['JUVENILE FICTION'],1993
76056,375821813,Hoot (Newbery Honor Book),CARL HIAASEN,['Juvenile Fiction'],2002
76073,394820371,The Phantom Tollbooth,Norton Juster,['Juvenile Fiction'],1993
76191,449134482,Dances With Wolves,Michael Blake,['Fiction'],1990
76312,812516826,Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery),Carole Nelson Douglas,['Fiction'],1993
76336,679420118,A Dangerous Place: California's Unsettling Fate (Images of America),Marc Reisner,['History'],2003
76338,741402858,The Balona Klongs,Jonathan Pearce,9,1999
76339,741402912,Finding Dad,Jonathan Pearce,9,1999
76340,741403056,Focusing the Private Eye,Jonathan Pearce,9,2000
76341,741403471,One Brick Shy,Jonathan Pearce,9,2000
76342,741403781,Spring Break,Jonathan Pearce,9,2000
76343,741405784,A Cuisine of Leftovers,Jonathan Pearce,9,2000
76344,741407213,Heavier Than Air (Balona Books),Jonathan Pearce,9,2001
76345,741409690,The Burberry Style,Jonathan Pearce,9,2002
76346,074141127X,The Chocolate Korndog,Jonathan Pearce,9,2002
76347,759612277,A Little Honesty: Trials and Triumphs of a Prince of Balona,Jonathan Pearce,9,2001
76348,871137380,Black Hawk Down: A Story of Modern War,Mark Bowden,['History'],1999
76356,1585007366,Sang Froyd (Balona Books),Jonathan Pearce,9,1999
76357,553568760,Natural Causes,Michael Palmer,['Fiction'],1995
76424,034538184X,Degree of Guilt,Richard North Patterson,['Trials (Murder)'],1995
76533,140620109,Emma (Penguin Popular Classics),Jane Austen,9,1994
76582,140620125,Wuthering Heights (Penguin Popular Classics),Emily Bronte,['Fiction'],1994
76621,375420827,The Art of Travel,Alain de Botton,['Travel'],2002
76637,671745530,SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback)),Douglas Adams,9,1991
76654,553211412,Wuthering Heights,Emily Bronte,9,1983
76667,671510053,SHIPPING NEWS,Annie Proulx,['Fiction'],1994
77016,805062971,Fight Club,Chuck Palahniuk,9,1999
77105,1573229385,The Frog King: A Love Story,Adam Davies,['Fiction'],2002
77158,385334036,The Smoke Jumper,Nicholas Evans,['Fiction'],2001
77236,945397410,Outhouses of Alaska,Harry M. Walker,['Humor'],1996
77238,60914653,The Unbearable Lightness of Being,Milan Kundera,['Continental European fiction (Fictional works by one author).'],1988
77298,345347536,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,['Fiction'],1987
77355,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,9,1982
77486,60529709,Everything Is Illuminated : A Novel,Jonathan Safran Foer,9,2003
77547,140274154,On the Road (Essential.penguin S.),Jack Kerouac,['American literature'],1998
77580,375507256,Cloud Atlas : A Novel,DAVID MITCHELL,['Fiction'],2004
77583,375704027,Norwegian Wood (Vintage International Original),Haruki Murakami,['Fiction'],2000
77621,679743464,Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,9,1993
77647,876850867,Post Office,Charles Bukowski,['Fiction'],1980
77664,3473540420,"Das Kurze Leben Der Sophie Scholl (Fiction, Poetry and Drama)",Vinke,9,1994
77667,451527038,The Call of the Wild: And Selected Stories (Signet Classics (Paperback)),Jack London,['Fiction'],1998
77675,590484672,Calling on Dragons (Read with Me Paperbacks),Patricia C. Wrede,9,1994
77691,590484753,Talking to Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,9,1995
77714,874067391,A Little Princess,Frances Hodgson  Burnett,['London (England)'],1996
77716,1590520777,A Life God Rewards for Teens (The Breakthrough Series),Bruce Wilkinson,['Religion'],2002
77717,975311255,A Temporary New Wife,Malcolm Goodway,9,2004
77718,743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,['Fiction'],2002
78002,553584510,The Survivors Club,LISA GARDNER,9,2003
78092,553586122,Reap the Wind,Iris Johansen,['Fiction'],2002
78190,345341201,Sins of Omission,FERN MICHAELS,9,1989
78205,440175623,Random Winds,Belva Plain,9,1987
78224,440216842,The Carousel,Belva Plain,['Fiction'],1998
78266,1551662744,White Lies,Linda Howard,['Fiction'],1997
78271,345443284,While I Was Gone,Sue Miller,['Fiction'],1999
78636,553285653,Grass,Sheri S. Tepper,['Fiction'],1990
78668,60256672,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,['Juvenile Nonfiction'],1974
78701,60928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,['Fiction'],1997
79433,60972777,This Boy's Life: A Memoir,Tobias Wolff,"['Authors, American']",1989
79455,64401472,Zlateh the Goat and Other Stories,Isaac Bashevis Singer,['Juvenile Fiction'],1984
79456,140042393,The Grapes of Wrath,John Steinbeck,['California'],1976
79533,140070206,Ironweed,William J. Kennedy,['Fiction'],1989
79566,140077022,White Noise (Contemporary American Fiction),Don DeLillo,9,1991
79622,014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner,['Fiction'],1992
79678,140236589,Swimming in the Volcano: A Novel,Bob Shacochis,9,1994
79682,140253602,Felicia's Journey,William Trevor,9,1996
79706,156001942,Winter's Tale,Mark Helprin,9,1995
79728,312420145,The Twenty-Seventh City : A Novel (Bestselling Backlist),Jonathan Franzen,9,2001
79741,316777730,Naked,David Sedaris,9,1998
79865,345418018,The World According to Garp (Ballantine Reader's Circle),John Irving,['Fiction'],1997
79902,375401318,Breaking Clean,JUDY BLUNT,['Biography & Autobiography'],2002
79919,375501851,White Teeth,Zadie Smith,['Fiction'],2000
79940,375705228,Italian Fever: A Novel,Valerie Martin,['Fiction'],2000
79945,038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,['Colombian fiction'],1970
79993,393961192,"The American Constitution: Its Origins and Development, Seventh Edition, Volume II",Alfred H. Kelly,9,1991
79994,394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS,['Juvenile Fiction'],1960
80024,395051649,Clarissa (abridged),Samuel Richardson,9,1962
80027,039592720X,Interpreter of Maladies,Jhumpa Lahiri,['Fiction'],1999
80154,440215625,Dragonfly in Amber,DIANA GABALDON,9,1993
80282,055326382X,The Dancing Wu Li Masters: An Overview of the New Physics,Gary Zukav,['Science'],1994
80298,553268449,JITTERBUG PERFUME,TOM ROBBINS,['Fiction'],1985
80346,553273914,The House of the Spirits,Isabel Allende,['Fiction'],1986
80508,671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,9,1996
80954,671789422,Possessing the Secret of Joy,Alice Walker,['Fiction'],1993
81033,679732764,Invisible Man,Ralph Ellison,['Fiction'],1995
81081,684801469,Farewell To Arms,Ernest Hemingway,['Fiction'],1995
81145,684844729,STONES FROM THE RIVER,Ursula Hegi,9,1997
81161,805019367,"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton,9,1994
81210,806996021,"Notions And Potions: A Safe, Practical Guide To Creating Magic & Miracles",Susan Bowes,"['Body, Mind & Spirit']",1997
81211,810935627,Loving,Charles Sullivan,['Poetry'],1992
81212,835607860,The Illustrated Encyclopedia of Buddhist Wisdom,Gill Farrer-Halls,['Religion'],2000
81213,872203492,Plato Complete Works,Plato,['Fiction'],1997
81216,877733759,Writing Down the Bones,NATALIE GOLDBERG,['Self-Help'],1986
81266,911104542,"Cat (kat), n",B Kliban,['Pets'],1975
81271,1566193966,History of Croatia,Stephen Gazi,['Bosnia and Hercegovina'],1994
81273,158574218X,Common Phrases: And Where They Come From,John Mordock,['Language Arts & Disciplines'],2001
81278,1859671500,Glorious Country: Food Crafts Decorating,Liz Trigg,['Crafts & Hobbies'],1995
81280,9997522052,Collected Works of Emile Zola,Emile Zola,9,2001
81282,1590520653,The Grace and Truth Paradox: Responding with Christlike Balance,Randy Alcorn,9,2003
81284,1590521994,The Best Thing I Ever Did for My Marriage : 50 Real Life Stories,Nancy Cobb,['Family & Relationships'],2003
81285,3446202218,Kreutzersonate. Eine Liebesgeschichte,Margriet de Moor,9,2002
81287,3499134446,Tollivers Reisen. Stadtgeschichten IV.,Armistead Maupin,9,1995
81288,067142517X,"HOW TO WIN FRIENDS, REVISED",Dale Carnegie,9,1981
81299,345422392,Vittorio the Vampire: New Tales of the Vampires,Anne Rice,['Fiction'],2001
81358,446601241,Kiss the Girls,James Patterson,9,1995
81587,446604801,Jack & Jill (Alex Cross Novels),James Patterson,['Fiction'],1997
81769,451124340,Different Seasons,Stephen King,['American fiction'],1983
81834,671726889,CUCKOO'S EGG,Clifford Stoll,['Computers'],1990
81874,679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,9,1991
81995,152013369,The Silent Storm: Scholastic Edition,Sherry Garland,9,1996
81998,425124819,Black Rainbow,Barbara Michaels,['Fiction'],1994
82022,440414717,My Life in Dog Years,Gary Paulsen,['Juvenile Nonfiction'],1999
82026,689715625,Black Gold,Marguerite Henry,['Juvenile Fiction'],1992
82028,812539389,Red Unicorn (Tor Fantasy),Tanith Lee,['Fiction'],1998
82033,345409469,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,['Science'],1997
82067,141001771,Welcome to My Planet: Where English Is Sometimes Spoken,Shannon Olson,9,2001
82104,373250177,On The Verge (Red Dress Ink (Paperback)),Ariella Papa,['Fiction'],2002
82138,449005569,Love: A User's Guide,CLARE NAYLOR,['Fiction'],1999
82174,451523369,"Frankenstein Or, the Modern Prometheus",Mary Wollstonecraft Shelley,9,1994
82202,671027344,The Perks of Being a Wallflower,Stephen Chbosky,['Fiction'],1999
82305,068930935X,A STRING OF CHANCES (String of Chances Nrf),Phyllis Reynolds Naylor,['Families'],1982
82307,763615382,Chaser: A Novel in E-Mails,Michael J. Rosen,9,2002
82310,786884622,World of Pies : A Novel,Karen Stolz,['Fiction'],2001
82338,965975401,Cool Women,Dawn Chipman,['Biography & Autobiography'],1997
82342,8885989632,Patapim e patapam (Le formiche),Antonio Albanese,9,1994
82343,006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,9,1999
82446,66211611,Portrait in Sepia,Isabel Allende,['Fiction'],2001
82511,140368558,Kiss the Dust,Elizabeth Laird,9,1994
82513,312254164,The Pilgrimage Road to Santiago : The Complete Cultural Handbook,David M. Gitlitz,9,2000
82514,375420673,The Bridegroom: Stories (Great Reads),Ha Jin,['Fiction'],2000
82537,395353416,"Slippage: Previously Poised, Previously Uncollected Stories",Harlan Ellison,['Fiction'],1997
82539,684819066,"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",Sylvia Nasar,9,1998
82563,684831058,DANCING AT THE RASCAL FAIR,Ivan Doig,['Fiction'],1996
82567,786927089,Dragons of Summer Flame,Margaret Weis,['Fiction'],2002
82578,671578103,Dragonne's Eg,Mary Brown,['Fiction'],1999
82588,3404203097,Das Lied von Albion I. Krieg im Paradies.,Stephen Lawhead,9,1997
82591,3404203135,Das Lied von Albion II. RÃ?Â¼ckkehr der Helden.,Stephen Lawhead,9,1997
82592,3423009152,Der Geteilte Himmel,Christa Wolf,['Berlin (Germany)'],1994
82599,3423620005,Sofies Welt. Roman Ã?Â¼ber die Geschichte der Philosophie.,Jostein Gaarder,['Philosophy'],1999
82605,3426616262,Ein Tag im Leben des Iwan Denissowitsch.,Alexander Solschenizyn,9,1999
82606,3426701448,Die letzte Rune 02. Der fahle KÃ?Â¶nig.,Mark Anthony,9,1999
82607,342670174X,Das Schwert der Schatten 1. Das dunkle Herz der Nacht.,J. V. Jones,9,2000
82609,3426701758,Das Schwert der Schatten 2. Im Schatten von Spire Vanis.,J. V. Jones,9,2000
82611,3426871874,Entdecke den Schamanen in dir. Reise in die innere Welt des Alltags.,Christopher Weidner,9,2003
82612,3442248922,DÃ?Â¤monendÃ?Â¤mmerung 01. Nachtvogel.,R. A. Salvatore,9,1999
82618,345309221X,Die Zauberin von Ruwenda.,Marion Zimmer Bradley,9,1995
82630,3453137205,Marchenmond,Wolfgang Hohlbein,9,1994
82631,3453147243,Der Magier. Der Erbe der Nacht.,Wolfgang Hohlbein,9,1999
82633,3453171977,Das Meer und kleine Fische.,Terry Pratchett,9,2000
82636,3453177800,Ein Mann fÃ?Â¼r jede Gelegenheit.,Carolyn See,9,2001
82637,3471791655,Erste Person Plural. Die Geschichte meiner vielen PersÃ?Â¶nlichkeiten.,Cameron West,9,1999
82639,3492229336,Die Meute der Erben.,Gaby Hauptmann,9,1999
82644,3492265014,Elfenfeuer.,Monika Felten,9,2003
82647,3596133319,Helden wie wir.,Thomas Brussig,9,1998
82653,3596142229,Die Herrin von Avalon.,Marion Zimmer Bradley,9,1998
82655,3746611229,Der fremde Freund. (Drachenblut).,Christoph Hein,9,1982
82657,3808536519,Fachkunde fÃ?Â¼r Fachinformatiker und Informatikkaufleute. (Lernmaterialien),GÃ?Â¼nter Peter Merker,9,2002
82658,3822813397,Schamanismus. Reisen der Seele. Magische KrÃ?Â¤fte. Ekstase und Heilung.,Piers Vitebsky,9,2001
82659,140042520,Dharma Bums,Jack Kerouac,['Fiction'],1991
82702,345358791,2061: Odyssey Three,Arthur C. Clarke,9,1991
82745,345375211,The Book of Lost Tales 1 (The History of Middle-Earth - Volume 1),J. R. R. Tolkien,['Fiction'],1992
82767,034537522X,The Book of Lost Tales 2 (The History of Middle-Earth - Volume 2),J.R.R. TOLKIEN,['Fiction'],1992
82780,034545829X,Waking Up Screaming: Haunting Tales of Terror,H. P. Lovecraft,9,2003
82783,446677574,Just Here Trying to Save a Few Lives : Tales of Life and Death from the ER,Pamela Grim,['Biography & Autobiography'],2002
82786,60964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,['Fiction'],1989
82871,345298985,"One Tree (Donaldson, Stephen R. Second Chronicles of Thomas Covenant, Bk. 2.)",Stephen R. Donaldson,['Fiction'],1982
82877,034531011X,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book One)",Stephen R. Donaldson,['Fantasy fiction'],1978
